route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
CAIP-5136,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5137,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5147,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5148,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5149,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5150,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5151,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CAIP-5152,CAIP,"Caboolture - Ipswich",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CASH-5147,CASH,"Caboolture - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CASH-5148,CASH,"Caboolture - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CASH-5149,CASH,"Caboolture - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,2E9D6A,000000
CASP-4998,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5075,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5076,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5094,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5110,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5111,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5115,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5117,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5119,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5135,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
