route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
641-4986,CBL 26_27-43425,38018157-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
641-4986,CBL 26_27-43425,38018158-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
644-4986,CBL 26_27-43425,38018161-CBL 26_27-43425,"Sandstone Point",1,,6440015
644-4986,CBL 26_27-43425,38018163-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6440016
644-4986,CBL 26_27-43425,38018165-CBL 26_27-43425,"Sandstone Point",1,,6440015
644-4986,CBL 26_27-43425,38018167-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6440016
644-4986,CBL 26_27-43425,38018170-CBL 26_27-43425,"Sandstone Point",1,,6440015
644-4986,CBL 26_27-43425,38018172-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6440016
644-4986,CBL 26_27-43425,38018174-CBL 26_27-43425,"Sandstone Point",1,,6440015
644-4986,CBL 26_27-43425,38018176-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6440016
644-4986,CBL 26_27-43425,38018178-CBL 26_27-43425,"Sandstone Point",1,,6440015
644-4986,CBL 26_27-43425,38018180-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6440016
641-4986,CBL 26_27-43425,38018181-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
640-4986,CBL 26_27-43425,38018183-CBL 26_27-43425,"Caboolture",1,,6400089
640-4986,CBL 26_27-43425,38018186-CBL 26_27-43425,"Woorim",0,,6400088
641-4986,CBL 26_27-43425,38018189-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
641-4986,CBL 26_27-43425,38018190-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
640-4986,CBL 26_27-43425,38018195-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6400055
642-4986,CBL 26_27-43425,38018197-CBL 26_27-43425,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43425,38018198-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43425,38018200-CBL 26_27-43425,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43425,38018201-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43425,38018203-CBL 26_27-43425,"Bribie Island RSL",1,,6420051
